dueling_DQN
9200
2709
306
232
661
302
505
698
489
703
935
701
539
350
383
377
455
1224
2176
2254
3268
476
2908
550
2573
789
334
133
199
376
707
2321
203
177
289
106
239
212
186
182
180
168
179
252
179
398
469
2223
781
168
219
587
163
238
2826
706
313
153
146
88
170
89
94
204
178
146
151
234
212
135
208
1166
207
123
165
126
197
216
230
308
205
158
393
337
631
257
211
141
312
273
228
339
414
280
583
194
245
2832
170
153
