DQN
14216
1505
1012
1737
1612
4346
1232
1164
1096
345
353
1017
470
194
402
384
346
537
381
476
403
701
303
246
519
228
178
247
491
471
104
222
265
381
224
203
153
209
149
226
161
143
250
208
219
139
162
171
234
207
260
468
224
150
475
405
283
228
178
152
239
94
93
117
144
153
164
443
787
761
1697
484
117
1968
303
907
119
361
371
147
173
95
361
223
142
502
194
839
3105
219
2022
785
186
190
1075
352
122
124
152
189
