DQN_Prioritized
10167
2181
1619
613
488
504
427
174
197
416
494
566
509
1800
807
907
676
269
182
164
170
437
481
322
352
174
985
596
821
378
167
329
181
1079
278
628
462
507
1278
644
145
379
147
1118
349
387
664
241
245
295
362
334
678
289
715
340
152
258
668
459
298
235
369
647
295
247
218
359
345
383
481
664
434
2873
143
446
142
148
1004
145
143
92
454
234
141
1132
148
365
144
148
825
149
148
146
90
154
146
372
151
153
