DQN_dueling_Prioritized
19606
4914
1748
500
255
544
682
257
255
300
184
250
317
198
176
190
233
156
260
167
153
208
177
168
197
302
288
4052
3472
1608
224
367
134
181
3862
160
156
167
158
158
470
247
236
318
164
229
771
558
309
162
228
151
151
150
155
325
169
310
158
162
160
155
162
152
164
155
150
145
147
140
155
189
503
134
611
823
465
450
131
133
220
228
121
119
103
119
130
168
172
179
172
100
133
187
98
105
183
183
124
135
